AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC5m,ATSC6m,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,Atomic_Number,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,MPC,Boiling Point (°C),Target
3.720867209,-1.668639053,-43.73964497,32.66863905,-32.94045473,292.8465004,-1.561618935,-19.25705899,-1.231715976,0.138115168,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.38894
3.720867209,-1.668639053,-43.73964497,32.66863905,-32.94045473,292.8465004,-1.561618935,-19.25705899,-1.231715976,0.138115168,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.4728
3.720867209,-1.668639053,-43.73964497,32.66863905,-32.94045473,292.8465004,-1.561618935,-19.25705899,-1.231715976,0.138115168,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.41376
3.05026455,-6.633217993,-80.28373702,-33.34256055,148.3771986,511.8979713,-2.7619609,-21.2120641,-0.719723183,0.171033119,28.0,163.0,6.8,112.0,7.64,8.912,73.09,36.7,0.37,153.0,0.17526
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,31.0,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.19,115.0,0.4097
1.98,-32.1183432,-38.14792899,-0.355029586,353.8847124,30.28157643,-0.007770414,-3.734622442,-0.080648696,0.468639053,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.09162
3.81712963,1.750297265,-61.79310345,34.89179548,-113.0903355,355.1154057,-3.370697979,-13.30086095,-1.511296076,-0.034284582,30.0,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,0.37,153.0,0.32014
3.720867209,-1.668639053,-43.73964497,32.66863905,-32.94045473,292.8465004,-1.561618935,-19.25705899,-1.231715976,0.138115168,49.0,193.0,9.7,29.0,5.786,7.31,73.09,36.7,0.37,153.0,0.6844
6.083333333,-6.326530612,-20.7755102,0.0,43.10140224,80.6431326,-1.049444898,-5.761308638,-1.177228786,0.695578231,27.0,192.0,7.5,64.0,7.881,8.86,73.09,36.7,0.37,153.0,0.30672
4.874396135,7.061728395,-31.37037037,22.85185185,-48.09848646,299.9556375,-2.510160494,-13.6613542,-1.742283951,-0.081052067,48.0,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,0.37,153.0,0.56822
