AATS5s,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC3i,AATSC0Z,AATSC2m,AtomicMass,AtomicRadius,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
3.81712963,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,-13.30086095,7.4078478,-0.011326782,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,958.821
4.208994709,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-13.71323248,7.222222222,0.202953053,58.93319,192.0,7.5,64.0,7.881,8.86,78.11,2.2,2.13,0.16,80.1,177.089
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,2680.51
6.089439787,-15.0,-30.0,-133.4506,0.0,0.0,-1.484482744,7.333333333,-11.32507474,58.93319,192.0,7.5,64.0,7.881,8.86,107.17,12.4,1.61,0.2,115.0,956.791
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,65.4,139.0,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,770.582
5.041666667,19.7037037,-64.96296296,-320.4280523,341.5998015,148.3219169,-20.14249843,8.839506173,1.049631063,112.41,158.0,7.2,-70.0,8.994,8.69,60.1,17.9,0.786,0.28,82.0,20.3856
5.296296296,-7.893491124,-12.81065089,-88.37545569,29.00710386,0.0,6.865841642,7.301775148,-2.877060652,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,11.0366
5.296296296,-7.893491124,-12.81065089,-88.37545569,29.00710386,0.0,6.865841642,7.301775148,-2.877060652,54.93804,197.0,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,0.32,65.0,66.1806
3.374485597,1.0,-29.5,-205.9892564,208.2792469,-366.6670057,-13.72631812,7.25,-0.675512816,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1485.95
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.93319,192.0,7.5,64.0,7.881,8.86,32.04,32.7,0.791,0.32,65.0,1411.05
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1442.77
3.049095607,-13.11111111,-31.66666667,-184.0296772,52.37720138,-215.3621752,-3.720835241,6.972222222,-2.896483922,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,1448.58
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,157.2,237.0,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,704.099
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,69.723,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.68,0.19,115.0,977.113
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,69.723,187.0,8.1,41.0,5.999,5.91,79.1,12.4,0.68,0.19,115.0,1216.03
6.089439787,1.0,-90.0,-42.03469954,0.0,0.0,1.412091599,9.5,15.82330225,24.305,173.0,10.6,-40.0,7.646,1.74,87.12,37.8,0.937,0.25,166.0,1560.07
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,162.5,229.0,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,239.534
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,162.5,229.0,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,241.807
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,162.5,229.0,24.5,34.0,5.939,8.55,41.05,37.5,0.34,0.26,81.6,131.766
4.874396135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,-13.6613542,7.728395062,0.602016249,112.41,158.0,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,0.37,153.0,1285.216
6.089439787,1.0,-90.0,-42.03469954,0.0,0.0,1.412091599,9.5,15.82330225,54.93804,197.0,9.4,-50.0,7.434,7.3,73.09,36.7,-0.85,0.37,153.0,461.144
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,58.93319,192.0,7.5,64.0,7.881,8.86,87.12,37.8,0.937,0.25,166.0,421.722
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,58.93319,192.0,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,441.084
4.387152778,3.511966701,-55.44640999,-127.6428303,314.4336725,293.5616502,-17.78670351,7.336108221,0.654011749,58.693,163.0,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,0.37,153.0,453.284
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,157.2,237.0,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,676.84
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,157.2,237.0,23.5,13.0,6.15,7.9,46.07,24.3,-0.31,0.3,78.37,228.77
6.939393939,5.326530612,-52.7755102,-55.01681737,15.28189589,245.1852095,-17.17443023,7.551020408,2.188865482,157.2,237.0,23.5,13.0,6.15,7.9,46.07,24.3,-0.31,0.3,78.37,222.604
6.083333333,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,-5.761308638,7.530612245,-3.129332876,63.55,140.0,6.7,119.0,7.726,8.933,46.07,24.3,-0.31,0.3,78.37,516.992
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,58.08,20.7,-0.24,0.17,56.05,273.584
6.089439787,-8.64,2.28,-82.42248586,0.0,0.0,0.431820984,10.16,-22.0557955,58.93319,192.0,7.5,64.0,7.881,8.86,41.05,37.5,0.34,0.26,81.6,200.979
