mof,AATS8m,ATSC6c,ATSC2d,ATSC4d,ATSC8d,ATSC1p,ATSC3p,ATSC1i,ATSC3i,AATSC0m,AATSC8v,GATS3c,GATS4dv,GATS1v,GATS5p,BCUTm-1l,MINdssC,AETA_eta_FL,ZMIC1,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
KEVVIS_clean,176.8568522,-0.12293021,2.222790358,-9.604821037,1.895544193,1.092174532,-4.602336795,5.688937873,-80.72703479,40.37043464,-4.447007693,0.94842654,0.887112887,0.801579043,1.005644564,11.69126222,-1.516686613,0.257564326,69.23722217,0.082440567,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,,110,96,727.5097772
ZUQMAB_clean,83.57413392,1.34373851,-8.937716263,3.14532872,-13.07958478,-0.037962163,-4.597717352,-11.32548367,-18.65858306,32.47802929,-9.652984168,0.955394844,1.064319204,0.811591842,0.946379864,11.69531862,-0.491244856,0.322419485,69.86627958,0.197734925,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,115,96,1183.04079
TIRRIW_clean,5.383728,-0.061787495,-3.016528926,-2.636363636,0.578512397,-0.038664004,-0.416578795,-3.85580608,2.870842657,32.16066372,33.94228129,0.803182696,0.881093315,0.893559847,1.04696891,11.72435688,-1.201626316,0.276535741,23.67545295,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,120,24,1103.944125
ZOZPUB_clean,70.82387188,-0.216962482,-4.682291667,-1.125,-1.637152778,-0.170425078,-0.862517927,-4.480766329,-1.803199742,34.66109729,8.022421917,0.845837401,0.703457447,0.885026373,1.010891231,11.7045645,-0.826807865,0.301399889,30.87468751,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,120,36,1318.128407
CIFMIP_clean,1.016064,2.000772516,-4.836734694,-1.285714286,1.530612245,1.22017302,-2.855387314,7.048205643,-17.17443023,35.1171682,81.72840318,0.597938845,1.210144928,0.665297038,1.504254123,11.69541116,-1.374444444,0.29112234,43.31347594,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,120,48,1525.997004
WOPHEQ_clean,51.70665914,0.198613978,-0.602040816,-7.903061224,0.142857143,0.064318323,-2.020937803,1.223276506,-24.21797973,31.82807435,-13.7614195,0.701998043,1.296829329,0.796032168,0.826852813,11.73469699,-1.201626316,0.324143021,37.3723973,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,1,120,48,508.5092007
EYULOA_clean,51.70665914,0.007993095,-4.714625446,-1.868014269,-1.136741974,-0.322748633,-1.396955745,-7.034199815,-2.986244747,31.94871591,-13.24990373,0.838828755,0.867817618,0.990230135,0.90862692,11.73187325,-1.201626316,0.275123094,33.8842467,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,73.0938,153,36.7,-1.01,0,1,0.22,,120,72,444.2287322
GEZRAG_clean,53.11604345,0.328764634,-4.75,-3.25,0,0.632789365,-3.200962403,0.324080876,-16.92346084,37.8743054,12.40347996,0.656144846,1.019110764,1.035129107,0.946593592,11.72858431,-1.201626316,0.230039631,29.78760862,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,32.042,64.7,32.7,-0.77,1,1,0.32,,120,72,1543.262854
NOBVOR_clean,53.11604345,-0.370722255,-1.056122449,-7.12755102,0,0.613370347,-1.049749769,6.699186516,-10.26673066,30.71535894,12.40347996,0.857430882,0.976494635,0.540858664,0.632180917,11.80089333,-1.420231481,0.295664092,27.69476573,0,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,,120,72,1020.875651
VIPXUO_clean,43.82279673,-0.077566019,-6.9088,-0.9088,2.0288,-0.398845886,-2.397329968,-11.90418518,2.201635621,31.67001215,-2.537523712,0.78797404,0.792411208,0.915233314,0.886698636,11.72033371,-1.201626316,0.292926772,64.53271415,0.016324865,27,58.9332,192,4.3,7.5,64,7.881,8.86,18.015,100,78.5,-1.38,1,1,0.82,14,120,72,67.57498335
