AATS4s,AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC4v,ATSC5v,ATSC6pe,ATSC7i,AATSC5dv,AATSC4Z,AATSC0v,MIC1,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
5.865079365,174.6157044,5.326530612,-48.48979592,158.5714286,-484.4214971,-30.14035608,15.28189589,4.969481633,15.12841755,1.734693878,-2.112244898,38.59684834,28.0923986,10.25825415,0.7812,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.25078
5.581980186,169.7560012,-8.64,-1.12,50.8,27.7819722,0.0,0.0,0.0,0.0,0.983015531,-1.75733888,34.11764866,21.37334811,3.207106781,-0.2992,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.24631
5.542222222,154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,-428.4866908,281.4722231,1.127684024,4.695555829,0.138115168,-2.18556213,41.63504387,32.53998956,6.836984153,1.54,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,1.24434
5.542222222,154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,-428.4866908,281.4722231,1.127684024,4.695555829,0.138115168,-2.18556213,41.63504387,32.53998956,6.836984153,1.54,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,1.16595
5.542222222,154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,-428.4866908,281.4722231,1.127684024,4.695555829,0.138115168,-2.18556213,41.63504387,32.53998956,6.836984153,1.54,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.15139
3.76984127,148.3284262,-6.633217993,-80.28373702,354.7058824,-754.9589994,-1059.364533,911.6421651,1.811200692,-37.6854775,0.171033119,-1.525045312,47.67586017,22.88855258,10.25835384,5.7822,28.0,58.693,163.0,4.4,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,2.0,0.37,153.0,1.09134
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,31.0,69.723,187.0,3.2,8.1,41.0,5.999,5.91,79.1,12.4,0.68,1.0,0.19,115.0,1.24666
1.969135802,160.2661121,-32.1183432,-38.14792899,172.6153846,-444.3049007,-627.7720807,674.3291608,-0.207481657,-20.64813252,0.468639053,-0.952443568,52.40379981,23.59893902,0.0,2.2618,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.18624
4.60515873,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-0.034284582,-2.297010362,45.3051226,27.72198532,8.902059979,2.8753,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1.14065
5.542222222,154.9477529,-1.668639053,-43.73964497,183.3846154,-400.3951207,-428.4866908,281.4722231,1.127684024,4.695555829,0.138115168,-2.18556213,41.63504387,32.53998956,6.836984153,1.54,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,2.0,0.37,153.0,0.744735
5.280701754,189.1588115,-6.326530612,-20.7755102,105.4285714,-187.9426401,-295.0873899,153.9775161,0.124438776,0.0,0.695578231,-2.169709989,44.15534175,31.18866227,3.407582445,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.23978
5.819444444,165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,-435.7061019,254.9866605,0.550923457,1.749836472,-0.081052067,-2.804783951,42.93582616,26.3638878,6.827180347,1.083,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,0.89237
1.880070547,163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,-588.0280101,172.4550225,0.051761712,8.781807898,0.159334126,-0.732763339,52.83150211,24.24728209,0.0,2.6519,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,46.07,24.3,-0.31,1.0,0.3,78.37,0.583005
1.880070547,163.9321569,-25.91676576,-32.25208086,192.5517241,-372.5024683,-588.0280101,172.4550225,0.051761712,8.781807898,0.159334126,-0.732763339,52.83150211,24.24728209,0.0,2.6519,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,8.2,0.32,65.0,0.549316
4.60515873,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-0.034284582,-2.297010362,45.3051226,27.72198532,8.902059979,2.8753,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.21212
4.60515873,156.1323945,1.750297265,-61.79310345,214.8275862,-346.5741855,-411.1971077,121.3910449,4.347911296,2.543059342,-0.034284582,-2.297010362,45.3051226,27.72198532,8.902059979,2.8753,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,1.08751
4.363247863,160.4274476,0.888888889,-42.44444444,173.3333333,-448.9353286,-506.5582561,274.7735749,-0.822288889,5.481638718,0.706349206,-1.888888889,45.02791735,25.13285217,6.848610706,2.2362,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,78.11,2.2,2.13,0.0,0.16,80.1,1.31103
4.607936508,156.5272456,3.511966701,-55.38189386,227.4193548,-574.6817201,-373.7814457,314.4336725,2.457642248,-9.204744818,0.916915973,-1.70062435,43.57578391,26.08862449,10.26908972,2.4482,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,0.778351
