AATS6i,ATSC2dv,ATSC3dv,ATSC0Z,ATSC3v,ATSC6pe,AATSC5dv,AATSC0v,MID_O,SLogP,Atomic_Number,AtomicMass,AtomicRadius,electron affinity(kJ/mol),IonizationEnergy,Density_,Relative Molecular Weight,Permittivity,LogP,Boiling Point (°C),Target
156.5272456,3.511966701,-55.38189386,227.4193548,-574.6817201,2.457642248,0.916915973,43.57578391,10.26908972,2.4482,48.0,112.41,158.0,-70.0,8.994,8.69,73.09,36.7,-0.85,153.0,0.778351
169.7560012,-15.0,-14.0,66.0,-184.8704272,0.0,0.983015531,45.11253556,0.0,0.4097,27.0,58.93319,192.0,64.0,7.881,8.86,107.17,12.4,1.61,115.0,1.12027
165.9289017,7.061728395,-31.37037037,139.1111111,-323.8209219,0.550923457,-0.081052067,42.93582616,6.827180347,1.083,30.0,65.4,139.0,-60.0,9.394,7.134,73.09,36.7,-0.85,153.0,1.15544
177.8265536,19.7037037,-67.62962963,238.6666667,-616.4685823,5.706592593,0.549382716,44.14566778,10.25825415,0.2727,48.0,112.41,158.0,-70.0,8.994,8.69,60.1,17.9,0.786,82.0,1.74639
177.1021883,-7.893491124,-10.73372781,94.92307692,-100.9977382,-0.459860947,-0.780407627,38.87335564,3.407582445,0.1748,25.0,54.93804,197.0,-50.0,7.434,7.3,32.04,32.7,0.791,65.0,1.51032
177.1021883,-7.893491124,-10.73372781,94.92307692,-100.9977382,-0.459860947,-0.780407627,38.87335564,3.407582445,0.1748,25.0,54.93804,197.0,-50.0,7.434,7.3,32.04,32.7,0.791,65.0,1.5469
157.6435699,1.0,-45.5,203.0,-407.0307408,1.491045918,0.305555556,46.91945671,6.836984153,2.75,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,0.928459
163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,0.637311111,0.413436693,48.34387423,3.418158314,2.4468,27.0,58.93319,192.0,64.0,7.881,8.86,32.04,32.7,0.791,65.0,0.929043
163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,0.637311111,0.413436693,48.34387423,3.418158314,2.4468,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,0.920189
163.5479851,-13.11111111,-36.33333333,167.3333333,-258.8195967,0.637311111,0.413436693,48.34387423,3.418158314,2.4468,27.0,58.93319,192.0,64.0,7.881,8.86,73.09,36.7,-0.85,153.0,0.920189
