code,SMILES,Metal,AATS5s,AATS0i,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC0m,AATSC2m,AATSC3m,PEOE_VSA7,EState_VSA2,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,SSA
AMIMEP,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,155.944943,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,33.988018,0.202953053,-4.00288144,35.0379167,11.12690298,2.2362,30,65.4,139,4.45,6.4,-60,9.394,7.134,944.613
AMIYIG,C(=O)O,Fe,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,168.703
AMIZAZ,C(=O)O,Ni,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,107.655
AMIZAZ01,C(=O)O,Ni,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,111.559
AMIZAZ02,C(=O)O,Ni,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,28,58.693,163,4.4,6.8,112,7.64,8.912,122.715
AMIZON,C(=O)O,Cu,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,29,63.55,140,4.48,6.7,119,7.726,8.933,108.833
AMIZON01,C(=O)O,Cu,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,29,63.55,140,4.48,6.7,119,7.726,8.933,114.275
AMOMUM,C(=O)O,Fe,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,151.72
AMONAT,C(=O)O,Fe,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,26,55.84,194,4.06,8.4,15,7.902,7.874,157.381
AMUCOB,C(CC(=O)O)CC(=O)O,Ca,5.685185185,167.9481259,168.5109261,11.88927336,-65.64705882,-332.4902357,13.27482913,43.06526463,3.97799308,-1.946221552,1.919941941,-1.303825452,9.162629758,-1.930795848,42.74078143,2.48566421,-8.875851488,6.420821623,19.26246487,0.3259,20,40.08,231,2.2,22.8,2,6.113,1.54,11.7484
AMUFIZ,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,11.73529412,165.7013338,157.5840597,11.94375857,-87.71604938,-281.8991943,-263.8178976,178.2428686,6.116186557,-12.84518107,9.158202415,-0.925754458,8.858710562,-1.218278464,41.1789378,1.174471553,-5.676734718,6.420821623,0,-0.8067,27,58.93319,192,4.3,7.5,64,7.881,8.86,11.7806
AMUFOF,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,11.73529412,165.7013338,157.5840597,11.94375857,-87.71604938,-281.8991943,-263.8178976,178.2428686,6.116186557,-12.84518107,9.158202415,-0.925754458,8.858710562,-1.218278464,41.1789378,1.174471553,-5.676734718,6.420821623,0,-0.8067,27,58.93319,192,4.3,7.5,64,7.881,8.86,409.435
AMURUX,C(=O)O,Mg,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,12,24.305,173,3.75,10.6,-40,7.646,1.74,151.066
AMURUX01,C(=O)O,Mg,6.089439787,173.5064463,185.0509644,-8.64,2.28,-82.42248586,0,0,0,0.431820984,0,-1.44,10.16,1.14,46.9144252,-22.0557955,5.7501955,0,6.472220865,-0.2992,12,24.305,173,3.75,10.6,-40,7.646,1.74,181.022
