AATS5s,AATS3i,ATSC2dv,ATSC3Z,ATSC2v,ATSC5v,ATSC8v,ATSC6are,ATSC3i,ATSC7i,AATSC3s,AATSC0Z,AATSC3Z,AATSC2m,AATSC3m,SLogP,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,HBA,MPC,Boiling Point (°C),Target
3.720867209,154.1273308,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,1.090269822,-19.25705899,4.695555829,-0.111729126,7.053254438,-0.556331361,-0.39660291,-2.702926602,1.54,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,1126.91
3.05026455,145.963084,-6.633217993,-72.16608997,-272.2080821,911.6421651,-434.9264188,1.850657439,-21.2120641,-37.6854775,0.052267347,6.955017301,-0.633035877,-0.588251461,-3.083480907,5.7822,28.0,58.693,163.0,4.4,6.8,112.0,7.64,8.912,73.09,36.7,-0.85,2.0,0.37,153.0,380.572
4.874396135,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,0.602016249,-2.772311348,1.083,31.0,69.723,187.0,3.2,8.1,41.0,5.999,5.91,79.1,12.4,0.68,1.0,0.19,115.0,951.221
1.98,155.1450974,-32.1183432,-68.30177515,-262.3018224,674.3291608,20.2697415,-0.244352663,-3.734622442,-20.64813252,-0.075419879,6.639053254,-1.241850457,-4.935734901,-5.952614647,2.2618,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,169.769
3.81712963,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,-0.011326782,-3.910457581,2.8753,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,2.0,0.37,153.0,845.188
3.720867209,154.1273308,-1.668639053,-27.81656805,-140.2220272,281.4722231,-269.0751763,1.090269822,-19.25705899,4.695555829,-0.111729126,7.053254438,-0.556331361,-0.39660291,-2.702926602,1.54,49.0,114.818,193.0,3.1,9.7,29.0,5.786,7.31,73.09,36.7,-0.85,2.0,0.37,153.0,3337.76
6.083333333,157.0701667,-6.326530612,-18.7755102,-126.5633675,153.9775161,0.0,0.097602551,-5.761308638,0.0,-0.162304052,7.530612245,-0.816326531,-3.129332876,-3.938246767,0.7798,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,508.635
4.874396135,151.4614135,7.061728395,-18.48148148,-139.4970291,254.9866605,-15.18434653,0.387160494,-13.6613542,1.749836472,-0.157999751,7.728395062,-0.560044893,0.602016249,-2.772311348,1.083,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,73.09,36.7,-0.85,2.0,0.37,153.0,2255.4
1.902298851,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,-4.781989446,-4.30568335,2.6519,48.0,112.41,158.0,4.33,7.2,-70.0,8.994,8.69,46.07,24.3,-0.31,1.0,0.3,78.37,3365.06
1.902298851,156.4364924,-25.91676576,-57.49346017,-320.3481131,172.4550225,-370.9973043,-0.017041141,-2.986244747,8.781807898,-0.048808256,6.639714625,-0.898335315,-4.781989446,-4.30568335,2.6519,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,32.04,32.7,0.791,8.2,0.32,65.0,4539.72
3.81712963,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,-0.011326782,-3.910457581,2.8753,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,702.494
3.81712963,152.3226421,1.750297265,-48.27586207,-315.5260643,121.3910449,-27.44793494,5.061973841,-13.30086095,2.543059342,-0.115173735,7.4078478,-0.832342449,-0.011326782,-3.910457581,2.8753,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,2.0,0.37,153.0,958.821
4.208994709,147.2871246,0.888888889,-41.11111111,-109.2228995,274.7735749,220.485913,-1.075555556,-13.71323248,5.481638718,-0.004444444,7.222222222,-0.822222222,0.202953053,-4.00288144,2.2362,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,78.11,2.2,2.13,0.0,0.16,80.1,177.089
