code,SMILES,Metal,AATS5s,AATS6v,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,PEOE_VSA10,SMR_VSA9,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,PV
AJIFAD,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,228.168847,-6.633217993,-80.28373702,-33.34256055,59.14071511,5.958477509,148.3771986,511.8979713,-272.2080821,911.6421651,-2.7619609,-21.2120641,-0.719723183,0.171033119,-0.588251461,-3.294897112,0,33.38070895,25.42293713,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.30574
AJIFUX,C1=CC(=CC=C1C2=CC(=CC(=C2)C3=CC=C(C=C3)C(=O)O)C4=CC=C(C=C4)C(=O)O)C(=O)O,Cd,3.05026455,228.168847,-6.633217993,-80.28373702,-33.34256055,59.14071511,5.958477509,148.3771986,511.8979713,-272.2080821,911.6421651,-2.7619609,-21.2120641,-0.719723183,0.171033119,-0.588251461,-3.294897112,0,33.38070895,25.42293713,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.30406
AJUNOK,C1=CC(=CC=C1C(=O)O)C(=O)O,Cd,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.15454
AJUPAY,C1=CC(=CC=C1C(=O)O)C(=O)O,Co,4.874396135,156.4726219,7.061728395,-31.37037037,22.85185185,33.27846365,-5.21399177,-48.09848646,299.9556375,-139.4970291,254.9866605,-2.510160494,-13.6613542,-1.742283951,-0.081052067,0.602016249,-3.796086632,0,0,5.022962963,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.08656
ALICEE,C1=NC=NN1,Cu,6.089439787,146.7274789,-17.75,-13.75,0,-2.73828125,-1.81640625,0,0,-44.18353857,0,0.3240125,-0.600939763,6.25,0.983015531,-11.37954215,23.35832815,12.65464015,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.38084
ALICII,C1=NC=NN1,Cu,6.089439787,146.7274789,-17.75,-13.75,0,-2.73828125,-1.81640625,0,0,-44.18353857,0,0.3240125,-0.600939763,6.25,0.983015531,-11.37954215,23.35832815,12.65464015,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.40618
ALIFUY,C1=CN=CC=C1C2=CC=NC=C2,Cd,2.5,116.6028796,-28.08,-29.42,1.69,-3.111111111,-2.666666667,87.61725472,77.00815584,-168.53654,-97.35287001,-0.031066,5.60363627,-0.325294118,0.585,-6.11030994,23.35832815,0,11.12690298,7.925925926,48,112.41,158,4.33,7.2,-70,8.994,8.69,0.13552
ALIQUH,C(=O)(C(=O)O)O,Mn,1,146.7274789,5.5,-6.5,0,2.722222222,21.83333333,104.9856391,0,-88.06441393,69.19802825,-1.506975,0.069150389,-6.5625,14.0625,5.4849955,23.35832815,0,0,0,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.16602
ALOLIY,C1=C(C=C(C=C1C(=O)O)C(=O)O)C2=CC(=CC(=C2)C(=O)O)C(=O)O,Mn,5.132132132,215.6352135,2,-72,-76,70.44444444,-12,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,0,11.12690298,6.464397203,25,54.93804,197,3.72,9.4,-50,7.434,7.3,0.06196
ALOLOD,C1=C(C=C(C=C1C(=O)O)O)C(=O)O,In,10.64102564,114.5120855,-0.872576177,-39.95567867,4.653739612,32.07910126,-26.71899046,341.0205921,-395.2272923,-82.49993911,-171.0374962,-2.251463989,-15.36591958,-0.159510619,1.383336885,1.746852814,76.06475325,5.749511833,5.749511833,2.938425926,49,114.818,193,3.1,9.7,29,5.786,7.31,0.55532
ALUKIC,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,58,140.116,235,3.1,29.6,635,5.539,6.77,0.62806
ALUKOI,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Sm,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,62,150.4,229,3.1,28.8,16,5.644,7.52,0.62732
ALUKUO,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Eu,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,63,151.964,233,3.1,27.7,83,5.67,5.24,0.62716
ALULAV,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Gd,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,64,157.2,237,3.1,23.5,13,6.15,7.9,0.62608
ALULID,C1=CC(=CC=C1C(=O)O)N=NC2=CC=C(C=C2)C(=O)O,Ce,4.075757576,221.3432094,3.111111111,-49.77777778,34,36.02666667,-4.537777778,-71.40697788,179.6614451,-332.1829542,472.2680899,-3.552833778,-27.84063931,-1.507936508,-0.373737374,-0.355741292,7.787647639,0,0,11.89993819,58,140.116,235,3.1,29.6,635,5.539,6.77,0.50336
AMILOY,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.3609
AMILUE,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.38068
AMIMAL,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.37476
AMIMEP,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,Zn,4.208994709,173.8794816,0.888888889,-42.44444444,-25.77777778,37.77777778,-0.222222222,302.011838,-21.964198,-109.2228995,274.7735749,-1.979622222,-13.71323248,-0.811965812,0.706349206,0.202953053,22.0485913,0,0,9.148454271,30,65.4,139,4.45,6.4,-60,9.394,7.134,0.38518
AMIYIG,C(=O)O,Fe,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,26,55.84,194,4.06,8.4,15,7.902,7.874,0.21298
AMIZAZ,C(=O)O,Ni,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,28,58.693,163,4.4,6.8,112,7.64,8.912,0.19022
AMIZAZ01,C(=O)O,Ni,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,28,58.693,163,4.4,6.8,112,7.64,8.912,0.19408
AMIZAZ02,C(=O)O,Ni,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,28,58.693,163,4.4,6.8,112,7.64,8.912,0.1997
AMIZON,C(=O)O,Cu,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.19728
AMIZON01,C(=O)O,Cu,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,29,63.55,140,4.48,6.7,119,7.726,8.933,0.20428
AMOMUM,C(=O)O,Fe,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,26,55.84,194,4.06,8.4,15,7.902,7.874,0.20452
AMONAT,C(=O)O,Fe,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,26,55.84,194,4.06,8.4,15,7.902,7.874,0.20594
AMUCOB,C(CC(=O)O)CC(=O)O,Ca,5.685185185,121.9371318,11.88927336,-54.35294118,-28.65051903,43.64619377,-44.33006536,-180.0195412,396.3992335,-332.4902357,13.27482913,-1.466084429,-1.946221552,-1.293348712,-0.744329104,2.48566421,43.06526463,0,0,0,20,40.08,231,2.2,22.8,2,6.113,1.54,0.0182
AMUFIZ,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,11.73529412,114.5027508,11.94375857,-78.79012346,-68.21399177,83.97668038,-66.65432099,20.22289232,415.4426966,-281.8991943,-263.8178976,-6.356520302,-12.84518107,-0.705932785,0.529633664,1.174471553,59.41428953,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.03638
AMUFOF,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,Co,11.73529412,114.5027508,11.94375857,-78.79012346,-68.21399177,83.97668038,-66.65432099,20.22289232,415.4426966,-281.8991943,-263.8178976,-6.356520302,-12.84518107,-0.705932785,0.529633664,1.174471553,59.41428953,0,0,0,27,58.93319,192,4.3,7.5,64,7.881,8.86,0.21774
AMURUX,C(=O)O,Mg,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.17518
AMURUX01,C(=O)O,Mg,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.17892
AMURUX02,C(=O)O,Mg,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.23168
AMURUX06,C(=O)O,Mg,6.089439787,146.7274789,-8.64,-1.12,0,-2.16,-2.88,0,0,-82.42248586,0,0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0,0,0,12,24.305,173,3.75,10.6,-40,7.646,1.74,0.17626
