AATS5s,ATSC2dv,ATSC3dv,ATSC7dv,ATSC2s,ATSC3s,ATSC5m,ATSC6m,ATSC2v,ATSC5v,ATSC4pe,ATSC3i,AATSC4dv,AATSC5dv,AATSC2m,AATSC8v,VSA_EState6,Atomic_Number,AtomicMass,AtomicRadius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),IonizationEnergy,Density,Relative Molecular Weight,Permittivity,LogP,MPC,Boiling Point (°C),Target
5.956521739,8.061728395,-24.37037037,-14.81481481,33.38957476,-5.769547325,128.7722934,4.396809432,-139.4970291,56.05095496,-2.387660494,-13.6613542,-1.152006173,0.402039721,0.602016249,75.66463763,5.195555556,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.52334
10.64102564,-0.872576177,-39.95567867,4.653739612,32.07910126,-26.71899046,341.0205921,-395.2272923,-82.49993911,-171.0374962,-2.251463989,-15.36591958,-0.159510619,1.383336885,1.746852814,76.06475325,2.938425926,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.5022
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,66.0,162.5,229.0,3.1,24.5,34.0,5.939,8.55,73.09,36.7,-0.85,0.37,153.0,0.32722
3.049095607,-13.11111111,-36.33333333,5.0,17.3128858,0.935185185,16.02032455,305.4643367,-184.0296772,52.37720138,-0.875777778,-3.720835241,-0.789598109,0.413436693,-2.896483922,-16.56632117,10.54098356,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.41066
5.132132132,2.0,-72.0,-76.0,70.44444444,-12.0,900.4250681,-387.2845392,-51.59703123,370.5888096,-4.511168166,-21.43958889,-0.475,1.162162162,1.543624954,1.889892347,6.464397203,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.499
8.08045977,10.24,-36.08,-47.6,52.95666667,-10.66333333,434.3616168,-77.80089334,-88.84582021,5.968041315,-4.57818,-16.83487397,-1.185,1.504827586,1.946496089,85.43943289,2.459537037,64.0,157.2,237.0,3.1,23.5,13.0,6.15,7.9,73.09,36.7,-0.85,0.37,153.0,0.06874
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,30.0,65.4,139.0,4.45,6.4,-60.0,9.394,7.134,73.09,36.7,-0.85,0.37,153.0,0.31242
3.81712963,1.750297265,-61.79310345,34.89179548,36.66115075,-6.680076628,-113.0903355,355.1154057,-315.5260643,121.3910449,-3.370697979,-13.30086095,-1.511296076,-0.034284582,-0.011326782,-1.016590183,11.88033846,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.37004
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.32992
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.3208
6.083333333,-6.326530612,-20.7755102,0.0,14.82086168,-3.732993197,43.10140224,80.6431326,-126.5633675,153.9775161,-1.049444898,-5.761308638,-1.177228786,0.695578231,-3.129332876,23.35832815,2.893518519,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.32752
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,25.0,54.93804,197.0,3.72,9.4,-50.0,7.434,7.3,87.12,32.2,-0.85,0.25,165.1,0.47152
6.939393939,5.326530612,-48.48979592,-59.26530612,46.31972789,-18.31292517,539.7217501,-54.9712958,-55.01681737,15.28189589,-4.208271429,-17.17443023,-0.918367347,1.734693878,2.188865482,81.72840318,2.699722222,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.3331
6.089439787,-8.64,-1.12,0.0,-2.16,-2.88,0.0,0.0,-82.42248586,0.0,0.0,0.431820984,-0.924871318,0.983015531,-22.0557955,23.35832815,0.0,27.0,58.93319,192.0,4.3,7.5,64.0,7.881,8.86,73.09,36.7,-0.85,0.37,153.0,0.4059
