mof,AATS7d,AATS8d,AATS8m,AATS5p,ATSC2d,ATSC3p,AATSC6dv,AATSC2s,AATSC0Z,GATS3c,GATS2dv,GATS7m,GATS1se,SpMAD_Dzm,AXp-2dv,NaasC,AMID_h,piPC3,piPC10,GGI10,AtomicNumber,AtomicMass,AtomicRadius,Mulliken EN,Polarizability,Electron affinity,IonizationEnergy,Density,Mr,Boiling point,Permittivity,LogP,HBD,HBA,MPC,pH,Temperature,Time,Target
DOZKIO_clean,3.908256881,3.824561404,89.7774482,1.728384226,-6.631111111,-3.832778107,-0.072010465,1.036608187,6.747654321,0.515803371,0.612166913,0.979922797,0.825834602,12.02944906,0.135667739,16,0.428420474,6.022842083,10.78766202,1.620242832,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,1,85,24,1.05766
WIPLOY_clean,2.577777778,2.685714286,57.81705654,1.44937501,-9.838842975,-4.138396563,-0.228347107,1.079909484,7.175619835,0.559544443,0.654444829,1.455742219,0.837003543,9.060328759,0.139044277,8,0.456730085,5.02223443,8.195118067,0.148964391,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,85,72,1.18111
KIKFIV_clean,3.56302521,3.179104478,61.69049685,1.759274823,-3.209876543,0.062963753,-0.415275513,0.418381344,6.323731139,0.58730947,0.689953088,0.96877383,0.730458743,10.11163882,0.144753093,6,0.189869493,5.475416979,9.553508057,0.363432303,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,1,85,96,1.05179
SARMOO_clean,1.333333333,1,11.090016,1.175773492,0.375,-0.37264957,-0.166666667,0.964912281,7.222222222,0.635937955,0.573407202,1.083348842,0.806780179,4.650793726,0.138190521,2,0.428903652,4.535284059,6.678965937,0,63,151.965,233,3.1,27.7,83,5.67,5.24,18.015,100,78.5,-1.38,1,1,0.82,,120,48,1.4554
PIBGAK_clean,1.830769231,1.8,54.15506471,1.307433077,-1.795918367,-2.895724059,0.24952381,0.793691756,7.319183673,0.531682903,0.658783574,1.554875202,0.751866946,6.270313634,0.159889752,6,0.32623337,4.757891273,7.789790948,0,63,151.965,233,3.1,27.7,83,5.67,5.24,73.0938,153,36.7,-1.01,0,1,0.22,,120,72,1.08232
SARMEE_clean,1.333333333,1,11.090016,1.175773492,0.375,-0.37264957,-0.166666667,0.964912281,7.222222222,0.635937955,0.573407202,1.083348842,0.806780179,4.650793726,0.138190521,2,0.428903652,4.535284059,6.678965937,0,63,151.965,233,3.1,27.7,83,5.67,5.24,18.015,100,78.5,-1.38,1,1,0.82,14,120,72,1.72993
TEJBAN_clean,2.684210526,2.8125,61.56285572,1.249636497,-12.15575987,-8.067127426,0.135475456,0.553712988,7.422390481,0.632691701,0.993128907,1.075189762,0.821495202,9.715112012,0.160471725,4,0.45186832,4.620058798,6.496020558,0.082440567,63,151.965,233,3.1,27.7,83,5.67,5.24,18.015,100,78.5,-1.38,1,1,0.82,,120,72,1.38569
LALFUB_clean,1.666666667,1,16.126992,0.957075242,-4.125,-0.705785993,2.984375,0.933712121,6.984375,0.690838297,0.674691162,0.582446474,1.05784147,4.171829196,0.118573983,2,0.904662609,3.876395828,0,0,63,151.965,233,3.1,27.7,83,5.67,5.24,18.015,100,78.5,-1.38,1,1,0.82,1,150,24,1.72073
INOVEN_clean,2.763636364,2.978723404,76.8616183,1.19490229,-8.87755102,-4.778806661,-0.216962989,0.994331066,7.586938776,0.677665944,0.697115053,1.121014455,0.898865038,7.790855942,0.137631699,5,0.624955766,4.584967479,6.572020271,0.152739516,64,157.25,237,3.1,23.5,13,6.15,7.9,46.068,78.2,24.5,-0.31,1,1,0.3,,60,168,1.1112
PORLAL_clean,3.273972603,3.298507463,73.88696973,1.406972047,-8.768595041,-4.18429177,0.224445411,0.525382413,6.671487603,0.71601924,0.680767603,1.001360458,0.868166928,9.168954371,0.136446646,6,0.507145757,5.293304825,8.873877198,0.209382716,64,157.25,237,3.1,23.5,13,6.15,7.9,73.0938,153,36.7,-1.01,0,1,0.22,,110,72,1.10001
QUHMOX_clean,2.336871941,2.241404418,53.11604345,1.221480226,-1.102040816,0.62079031,0.413415537,7.287744342,22.40816327,1.248911891,0.037378641,1.149391391,1.308374371,0.607371036,0.223916718,0,1.7,0,0,0,64,157.25,237,3.1,23.5,13,6.15,7.9,78.13,189,46.7,-1.35,0,2,0.3,,140,48,3.25207
QUPDEL01_clean,1,2.241404418,53.11604345,0.711141304,-2.5,-0.466992179,-7.5,1.964726631,8.666666667,0.818809704,0.6875,0,1.062925349,3.465586523,0.126226084,0,0.841976268,2.708050201,0,0,64,157.25,237,3.1,23.5,13,6.15,7.9,18.015,100,78.5,-1.38,1,1,0.82,,140,48,2.05035
YEMJAC_clean,1,1,1.016064,1.115081704,-4.836734694,-2.855387314,0.274376417,1.54399093,7.551020408,0.597938845,0.568115942,2.437880496,0.97234548,4.855187367,0.129261705,3,0.68388361,4.123093976,0,0,66,162.5,229,3.1,24.5,34,5.939,8.55,73.0938,153,36.7,-1.01,0,1,0.22,1,60,168,1.59244
